genus	mean_size_bp	num_genomes
Dehalobacter	3199853	11
Dehalobacterium	3766545	1
Dehalococcoides	1401714	35
Dehalogenimonas	1892441	7
Deinobacterium	3761736	1
Deinococcus	3934929	96
Delftia	6700838	58
Dellaglioa	1570579	1
Demequina	2809435	26
Dendronalium	8381979	2
Dendrosporobacter	4130502	1
Denitratisoma	4031259	3
Denitrificimonas	2995991	3
Denitrobacterium	2409760	3
Denitrobaculum	6442184	1
Denitromonas	3848276	1
Denitrovibrio	3222077	1
Dermabacter	2346942	11
Dermacoccus	3042573	15
Dermatobacter	4661060	1
Dermatophilus	2659769	42
Derxia	5185168	1
Desemzia	2654254	9
Desertibacillus	4418026	1
Desmonostoc	8982067	1
Desmospora	3693727	1
Desnuesiella	5503198	1
Desulfacinum	3968309	2
Desulfamplus	6677998	1
Desulfarculus	3655731	1
Desulfatibacillum	6484912	3
Desulfatiglans	4667344	1
Desulfatirhabdium	4481975	1
Desulfitibacter	4361351	1
Desulfitobacterium	4907755	13
Desulfobacca	3282536	1
Desulfobacter	4172215	13
Desulfobacula	5147030	3
Desulfobaculum	3432727	3
Desulfobotulus	4004434	1
Desulfobulbus	3580407	5
Desulfocapsa	4023512	1
Desulfocarbo	5114044	1
Desulfocicer	5035799	1
Desulfococcus	4431960	3
Desulfocurvibacter	4301530	2
Desulfocurvus	3627185	1
Desulfofalx	2622239	1
Desulfofarcimen	4545624	1
Desulfoferula	4479191	1
Desulfofundulus	3087549	5
Desulfofustis	4604720	2
Desulfoglaeba	3365583	1
Desulfogranum	5298690	2
Desulfohalobium	2909567	1
Desulfolithobacter	3596428	1
Desulfoluna	6480483	4
Desulfolutivibrio	4189488	4
Desulfomarina	4307339	1
Desulfomicrobium	3926318	7
Desulfomonile	6527027	1
Desulfonatronospira	4107394	1
Desulfonatronovibrio	3563018	3
Desulfonatronum	4198027	2
Desulfonema	7467911	2
Desulfopila	6316145	1
Desulfoplanes	3000979	1
Desulfoprunum	3784550	1
Desulforamulus	3248295	8
Desulforapulum	5657782	1
Desulforegula	4469042	1
Desulforhabdus	4933642	1
Desulforhopalus	5008860	1
Desulfosalsimonas	4022696	1
Desulfosarcina	6406977	6
Desulfoscipio	4256326	3
